user_id	contacts
42	{"contacts": [7218053, 10159360]}
137	{"contacts": [8111408, 10185749, 7265089]}
176	{"contacts": [294752, 6939499, 1347110, 1356903, 7545981, 10195266, 10583254, 4408560, 3272032, 8043535]}
1476	{"contacts": [7809910, 445634, 451728, 3701810, 3116556, 6092195, 5567658, 4991189, 4423034]}
1589	{"contacts": [4574919, 5481365, 8239252]}
1944	{"contacts": [1330141, 8400886, 747342, 1637275, 5477185]}
2504	{"contacts": [4295819, 4335288, 7612347, 9677123, 147762, 8254272, 3911017, 274456]}
2571	{"contacts": [9305160, 5490614, 9632598]}
2962	{"contacts": [1035355, 6633826, 3395533, 2833750, 5511514, 9384590]}
2967	{"contacts": [3405562]}
3598	{"contacts": [5454399]}
3773	{"contacts": [8410682, 5070350]}
3886	{"contacts": [5453257, 1341089, 2235304, 9103254, 10590697, 10920788]}
4113	{"contacts": [2214928, 1354426, 6692283, 5234456]}
4698	{"contacts": [3985571, 5764790, 2584085, 5560149, 2644551, 3234638, 5005211, 4455315]}
5173	{"contacts": [10200937, 2320983]}
5867	{"contacts": [8688960, 1622632, 6631275, 3099965, 6933923, 5465960, 4611793, 1142674, 7715308]}
6956	{"contacts": [298546, 9908097, 5510608, 538499, 5989028]}
7478	{"contacts": [4874094, 3996758, 7827849, 9909723, 1789865, 10385730, 5421593]}
7532	{"contacts": [3751572]}
7818	{"contacts": [7816357, 3704204, 10765437, 3733200, 6703345]}
8139	{"contacts": [7222059, 9083744, 6799740]}
8377	{"contacts": [2836701]}
8683	{"contacts": [8428114]}
9286	{"contacts": [6631275, 1920773, 6359139, 7539462, 1123695, 4998648]}
9347	{"contacts": [6086878]}
9365	{"contacts": [5847307, 9685197, 575704]}
9636	{"contacts": [1924302]}
11074	{"contacts": [1927342]}
11173	{"contacts": [577, 3687585]}
12121	{"contacts": [3410329, 2879420, 7401170]}
12423	{"contacts": [10503987, 3239019]}
13065	{"contacts": [8158129, 63704, 4078326]}
13073	{"contacts": [1920506, 4868118, 7893393]}
13983	{"contacts": [1043294, 3410072, 4882996, 10238065, 5606864]}
14092	{"contacts": [6929599, 6975043]}
14141	{"contacts": [5459433, 2544761]}
14450	{"contacts": [58946, 2343181]}
14999	{"contacts": [4290220]}
15820	{"contacts": [1631400, 299382]}
16359	{"contacts": [6924117, 1048971, 10200937, 7850094]}
16630	{"contacts": [4580279, 1638843, 18361, 4295020, 7317436, 4392992]}
16663	{"contacts": [7560453, 880842, 2688883, 637015, 8909887, 9524596]}
16808	{"contacts": [5463330, 5172716, 7528499, 3126118, 7439490]}
17264	{"contacts": [8987846, 4906119]}
17574	{"contacts": [2818685, 9905837, 9846284]}
17804	{"contacts": [1623904, 449598]}
17897	{"contacts": [10747686]}
